,PE,ROE,Sector
MMM,29.678226,0.71458,Industrials
AOS,15.554667,0.28267,Industrials
ABT,24.277311,0.123339996,Healthcare
ABBV,103.960976,,Healthcare
ACN,14.508197,0.24763,Technology
ADBE,14.006407,0.58774,Technology
AMD,166.851,0.08063,Technology
AES,7.640625,0.052600004,Utilities
AFL,13.350857,0.16469,Financial Services
A,25.403973,0.19945998,Healthcare
APD,30.484211,0.12353,Basic Materials
ABNB,32.76049,0.32325,Consumer Cyclical
AKAM,50.070946,0.091680005,Technology
ALB,,-0.0182,Basic Materials
ARE,,-0.04144,Real Estate
ALGN,27.487396,0.10824,Healthcare
ALLE,17.979507,0.34179002,Industrials
LNT,23.169811,0.113120005,Utilities
ALL,4.708407,0.45221,Financial Services
GOOGL,29.662853,0.38884997,Communication Services
GOOG,29.332317,0.38884997,Communication Services
MO,15.108561,,Consumer Defensive
AMZN,31.657518,0.24285,Consumer Cyclical
AMCR,31.16,0.08737001,Consumer Cyclical
AEE,19.969425,0.117469996,Utilities
AEP,19.392591,0.12585,Utilities
AXP,19.383656,0.34419,Financial Services
AIG,13.589789,0.07723,Financial Services
AMT,29.830647,0.29952,Real Estate
AWK,21.95922,0.10217,Utilities
AMP,11.35061,0.66936,Financial Services
AME,34.606335,0.14626999,Industrials
AMGN,23.361614,1.01318,Healthcare
APH,40.103447,0.36825,Technology
ADI,62.491074,0.09639,Technology
AON,17.514538,0.46447,Financial Services
APA,8.741259,0.26217,Energy
APO,82.22152,0.08492,Financial Services
AAPL,37.328083,1.4147099,Technology
AMAT,42.75282,0.39692003,Technology
APP,44.638885,2.66444,Communication Services
APTV,34.976192,0.040799998,Consumer Cyclical
ACGL,7.336154,0.21305999,Financial Services
ADM,34.825893,0.047659997,Consumer Defensive
ARES,57.732716,0.14182,Financial Services
ANET,54.298965,0.31520998,Technology
AJG,33.00324,0.07007,Financial Services
AIZ,13.121989,0.18016,Financial Services
T,8.230264,0.18370001,Communication Services
ATO,21.8867,0.096,Utilities
ADSK,45.46374,0.39675,Technology
ADP,20.368471,0.71208,Technology
AZO,21.738379,,Consumer Cyclical
AVB,22.935564,0.09719,Real Estate
AVY,17.995495,0.30857,Consumer Cyclical
AXON,155.9919,0.06765,Industrials
BKR,21.319489,0.17184,Energy
BALL,16.48688,0.16785999,Consumer Cyclical
BAC,12.952853,0.10644,Financial Services
BAX,,-0.15010999,Healthcare
BDX,25.78534,0.06672,Healthcare
BRK-B,14.38917,0.10499,Financial Services
BBY,12.543652,0.37041,Consumer Cyclical
TECH,68.52857,0.053400002,Healthcare
BIIB,20.738989,0.077010006,Healthcare
BLK,27.097588,0.118990004,Financial Services
BX,30.28718,0.29533002,Financial Services
XYZ,54.039062,0.03743,Technology
BNY,17.52174,0.13472,Financial Services
BA,86.1811,1.69947,Industrials
BKNG,21.543537,,Consumer Cyclical
BSX,24.117153,0.14661,Healthcare
BMY,16.254902,0.38731998,Healthcare
AVGO,81.94369,0.33370999,Technology
BR,15.716577,0.42314,Technology
BRO,18.563519,0.11926,Financial Services
